run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5
ERR7434558	ERP133481	SAMEA11322490	ERS8967331	ERX7004263	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	AQR_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	260972548	32882541048	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:AQR_p	E-MTAB-11202:AQR_	9544571015;9753281913	5fce9fb07143943912896d859864eab4;a0553ffe28887f346936b51405aa9add	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/008/ERR7434558/ERR7434558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/008/ERR7434558/ERR7434558_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/008/ERR7434558/ERR7434558_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/008/ERR7434558/ERR7434558_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/008/ERR7434558/ERR7434558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/008/ERR7434558/ERR7434558_2.fastq.gz	9219971529;9427707485	f96b9faacf64f8b15ee66634ff57117f;081219afbc9741f73c2dbcbce2bf25b1	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434558/AQR_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434558/AQR_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434558/AQR_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434558/AQR_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434558/AQR_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434558/AQR_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:AQR	ArrayExpress	AQR		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/008/ERR7434558.bam	18342061740	5c16861b6ad37b5f7acdb5eb595f5d52
ERR7434552	ERP133481	SAMEA11322484	ERS8967325	ERX7004257	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	ACIN1_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	225175412	28372101912	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:ACIN1_p	E-MTAB-11202:ACIN1_	8202906656;8249841601	5d7ff18a90e497ab327cebf29a86262d;b752bedf9761cfd0499fc7f32c1082e7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/002/ERR7434552/ERR7434552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/002/ERR7434552/ERR7434552_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/002/ERR7434552/ERR7434552_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/002/ERR7434552/ERR7434552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/002/ERR7434552/ERR7434552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/002/ERR7434552/ERR7434552_2.fastq.gz	7912396017;7963379661	9f7a9e0a3e2c20594407f91ae57a7392;92159703380557b95e55ca9f69635a94	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434552/ACIN1_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434552/ACIN1_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434552/ACIN1_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434552/ACIN1_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434552/ACIN1_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434552/ACIN1_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:ACIN1	ArrayExpress	ACIN1		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/002/ERR7434552.bam	15624986651	d300b671749b3f4b100808ffa6a516b0
ERR7434560	ERP133481	SAMEA11322492	ERS8967333	ERX7004265	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	ASH2L_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	254107226	32017510476	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:ASH2L_p	E-MTAB-11202:ASH2L_	9260611516;9561058729	3af72609e718519548b1777996242065;7dfda09fba6e3e2a044a1c99e1192a44	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434560/ERR7434560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434560/ERR7434560_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/000/ERR7434560/ERR7434560_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/000/ERR7434560/ERR7434560_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434560/ERR7434560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434560/ERR7434560_2.fastq.gz	8939845211;9238507344	a8a1efdca4655dc2693b7c15a7190ff1;6e2b2a3ac56ee2416863f68b80367498	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434560/ASH2L_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434560/ASH2L_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434560/ASH2L_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434560/ASH2L_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434560/ASH2L_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434560/ASH2L_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:ASH2L	ArrayExpress	ASH2L		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/000/ERR7434560.bam	17887653367	961e6a6569bf0fb3defe235de9e5c1d5
ERR7434561	ERP133481	SAMEA11322493	ERS8967334	ERX7004266	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	BAZ1B_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	212430526	26766246276	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:BAZ1B_p	E-MTAB-11202:BAZ1B_	7314044148;7348469238	acbe042b14f8518b9b587fc0acf01460;fa8a7f67926f6c35d63201b7807ef716	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/001/ERR7434561/ERR7434561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/001/ERR7434561/ERR7434561_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/001/ERR7434561/ERR7434561_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/001/ERR7434561/ERR7434561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/001/ERR7434561/ERR7434561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/001/ERR7434561/ERR7434561_2.fastq.gz	7039963158;7075847504	1f98a27b2348ba4c1c26ea9d1ee03805;9129744fa46420e9ff0d37825fd43655	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434561/BAZ1B_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434561/BAZ1B_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434561/BAZ1B_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434561/BAZ1B_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434561/BAZ1B_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434561/BAZ1B_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:BAZ1B	ArrayExpress	BAZ1B		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/001/ERR7434561.bam	13822833445	217fa2ba6c3bd4e43a152f00d63fc75d
ERR7434562	ERP133481	SAMEA11322494	ERS8967335	ERX7004267	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	BCAS2_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	215993310	27215157060	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:BCAS2_p	E-MTAB-11202:BCAS2_	7627329916;7617172754	b29de48da8d01ae101e036d4bcc4031e;6097b5ae177bee5b7b28f9eb26f4275c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/002/ERR7434562/ERR7434562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/002/ERR7434562/ERR7434562_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/002/ERR7434562/ERR7434562_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/002/ERR7434562/ERR7434562_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/002/ERR7434562/ERR7434562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/002/ERR7434562/ERR7434562_2.fastq.gz	7337738958;7328765504	90adae9ab28f300523caba0f0ae68902;ee325e328aee93c8cb7133494a96af43	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434562/BCAS2_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434562/BCAS2_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434562/BCAS2_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434562/BCAS2_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434562/BCAS2_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434562/BCAS2_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:BCAS2	ArrayExpress	BCAS2		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/002/ERR7434562.bam	14377655097	d4a8184d272087084c85220a3ef08b7e
ERR7434566	ERP133481	SAMEA11322498	ERS8967339	ERX7004271	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	BUB3_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	234427114	29537816364	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:BUB3_p	E-MTAB-11202:BUB3_	8691640701;8566892131	77ea5fbf9bfb2d287a212a8a66b21ba2;6005b3e47180b22823b5683db689b32a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/006/ERR7434566/ERR7434566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/006/ERR7434566/ERR7434566_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/006/ERR7434566/ERR7434566_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/006/ERR7434566/ERR7434566_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/006/ERR7434566/ERR7434566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/006/ERR7434566/ERR7434566_2.fastq.gz	8376529423;8253617379	99f2092407010767247cec9850ea1fc6;b8b30c279743e18d58ef45c71a90ad6b	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434566/BUB3_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434566/BUB3_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434566/BUB3_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434566/BUB3_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434566/BUB3_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434566/BUB3_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:BUB3	ArrayExpress	BUB3		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/006/ERR7434566.bam	16414772802	0e7dc18e88f0b60d3e06d086de41d7db
ERR7434563	ERP133481	SAMEA11322495	ERS8967336	ERX7004268	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	BMI1_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	239969836	30236199336	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:BMI1_p	E-MTAB-11202:BMI1_	8274975923;8999172021	59bb7d36c4affca645b34a64f03fce49;bb10921bdf47368fdc997749a4519721	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/003/ERR7434563/ERR7434563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/003/ERR7434563/ERR7434563_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/003/ERR7434563/ERR7434563_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/003/ERR7434563/ERR7434563_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/003/ERR7434563/ERR7434563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/003/ERR7434563/ERR7434563_2.fastq.gz	7956460775;8677533059	f803c670a0e58c6b6d3a4ee7a15097ba;b6723fa7bc6c8a35b9a8aaa56849da69	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434563/BMI1_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434563/BMI1_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434563/BMI1_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434563/BMI1_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434563/BMI1_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434563/BMI1_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:BMI1	ArrayExpress	BMI1		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/003/ERR7434563.bam	16375147147	1297df7e24c1d76c15f2129debcdce4d
ERR7434569	ERP133481	SAMEA11322501	ERS8967342	ERX7004274	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	C19orf43_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	219898984	27707271984	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:C19orf43_p	E-MTAB-11202:C19orf43_	8420316415;8576268721	2b72ac54d3737a01af94d93c2834513b;f129eea920478b3805c7be05ec088e86	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/009/ERR7434569/ERR7434569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/009/ERR7434569/ERR7434569_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/009/ERR7434569/ERR7434569_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/009/ERR7434569/ERR7434569_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/009/ERR7434569/ERR7434569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/009/ERR7434569/ERR7434569_2.fastq.gz	8151053800;8311336470	a37266e95d308a6d0588bf02164c98dc;6ef864825b5a083e026a26ebee2f7340	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434569/C19orf43_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434569/C19orf43_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434569/C19orf43_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434569/C19orf43_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434569/C19orf43_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434569/C19orf43_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:C19orf43	ArrayExpress	C19orf43		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/009/ERR7434569.bam	16300091540	ea369b2895c7cf4e7c501c104640c779
ERR7434564	ERP133481	SAMEA11322496	ERS8967337	ERX7004269	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	BRD4_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	234070516	29492885016	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:BRD4_p	E-MTAB-11202:BRD4_	8007028754;8724735136	98e45094a46bb1d5b538c67b1b301f37;db475a772706a2976239fc549735ff10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434564/ERR7434564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434564/ERR7434564_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/004/ERR7434564/ERR7434564_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/004/ERR7434564/ERR7434564_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434564/ERR7434564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/004/ERR7434564/ERR7434564_2.fastq.gz	7697953524;8411472230	54521d40310f9f3b8706b301263d896e;0df667bcb7a6dc63c90cd88748f0b318	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434564/BRD4_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434564/BRD4_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434564/BRD4_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434564/BRD4_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434564/BRD4_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434564/BRD4_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:BRD4	ArrayExpress	BRD4		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/004/ERR7434564.bam	15877384044	ce82ec935e894a3310fb9dd5492dff71
ERR7434570	ERP133481	SAMEA11322502	ERS8967343	ERX7004275	PRJEB49033	ERA7487558	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	C9orf78_p		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PolyA	205888116	25941902616	European Bioinformatics Institute;Centre for Genomic Regulation (CRG)	2023-12-30	2024-10-22	Illumina HiSeq 2000 sequencing: Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	Transcriptome-wide analysis of the effects of systematic knock down of splicing factors and regulators using siRNAs in HeLa cells	E-MTAB-11202	E-MTAB-11202:C9orf78_p	E-MTAB-11202:C9orf78_	7444366014;7953038370	ac47abf8fc45d256a2ee5b4cd79d29db;ace2026c9229082cb7583a56146dc0e3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434570/ERR7434570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434570/ERR7434570_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/000/ERR7434570/ERR7434570_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR743/000/ERR7434570/ERR7434570_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434570/ERR7434570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR743/000/ERR7434570/ERR7434570_2.fastq.gz	7200037151;7707932791	dadbd1fda2deef86b0245a76affe3b20;7c6730afa0cbd31296667597eb16845c	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434570/C9orf78_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434570/C9orf78_2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434570/C9orf78_1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR743/ERR7434570/C9orf78_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434570/C9orf78_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR743/ERR7434570/C9orf78_2.fq.gz	FASTQ;FASTQ						E-MTAB-11202:C9orf78	ArrayExpress	C9orf78		2021-11-26	ftp.sra.ebi.ac.uk/vol1/err/ERR743/000/ERR7434570.bam	14710021631	45eced208c316ce68727055061e03d08
